Augsburg	1,3	0,57	6,48	4,26	13,08	4,03	1,88	0,06
Bayern Munich	2,69	1,23	9,76	7,17	9,47	7,36	1,4	0,03
Darmstadt	0,82	0,32	5,24	2,76	15,18	3,76	1,97	0,15
Dortmund	2,25	0,91	7,94	5,69	10,19	5,46	1,28	0,07
Ein Frankfurt	1,42	0,59	6,94	4,36	13,57	5,1	2,06	0,11
FC Koln	1,35	0,64	6,27	3,8	13,67	4,6	2,14	0,05
Fortuna Dusseldorf	1,29	0,53	6,33	4,3	11,95	4,22	2,2	0,02
Freiburg	1,21	0,5	6,47	4,18	11,77	4,21	1,58	0,09
Hamburg	0,91	0,41	6,09	3,68	15,25	5,28	1,96	0,13
Hannover	1,1	0,46	6,51	3,94	12,81	4,07	1,87	0,06
Hertha	1,31	0,54	5,55	3,88	13,18	3,77	1,83	0,11
Hoffenheim	1,85	0,7	7,95	5,48	13,5	4,81	1,95	0,02
Ingolstadt	1,06	0,53	7,38	4,76	16,29	4,65	2,03	0,18
Leverkusen	1,77	0,84	7,85	5,57	12,02	5,17	1,59	0,12
Mainz	1,27	0,58	7,36	4,38	13,59	4,79	1,89	0,1
Mgladbach	1,54	0,62	7,55	4,75	11,07	4,96	1,58	0,03
Nurnberg	0,76	0,21	5,79	3,06	11,06	4,44	1,74	0,12
Paderborn	1,2	0,6	6,77	4,11	11,99	5,45	2,48	0,08
RB Leipzig	1,95	0,88	7,9	5,45	12,94	5,33	1,67	0,08
Schalke 04	1,32	0,57	6,58	4,22	13,58	4,57	1,94	0,09
Stuttgart	1	0,43	6,19	3,57	11,66	4,59	1,84	0,1
Union Berlin	1,29	0,48	6,75	4,18	15,12	3,69	2,18	0,16
Werder Bremen	1,45	0,67	6,98	4,63	13,24	4,69	1,91	0,06
Wolfsburg	1,31	0,51	6,8	4,3	12,71	4,78	1,84	0,09
